slug,question,signal,zone,entry_price,half_spread,resolution,resolution_price,pnl_gross,pnl_net,win
highest-temperature-in-paris-on-february-26-2026-16c,Will the highest temperature in Paris be 16°C on February 26?,sell,longshot,0.2647,0.0100,NO,0.0005,0.264230,0.254230,1
wbd-quarterly-earnings-gaap-eps-02-26-2026-0,Will Warner Bros (WBD) beat quarterly earnings?,sell,longshot,0.3260,0.0100,NO,0.0005,0.325500,0.315500,1
will-the-us-officially-declare-war-on-venezuela-by-june-30-2026,"Will the US officially declare war on Venezuela by June 30, 2026?",sell,longshot,0.3718,0.0100,NO,0.0180,0.353842,0.343842,1
will-russia-capture-all-of-kupiansk-by-march-31,Will Russia capture all of Kupiansk by March 31?,sell,longshot,0.3813,0.0100,NO,0.0160,0.365333,0.355333,1
will-turnout-in-the-2025-honduran-general-election-be-greater-than-62,Will turnout in the 2025 Honduran general election be greater than 62%?,sell,longshot,0.1415,0.0100,NO,0.0320,0.109500,0.099500,1
will-turnout-in-the-2025-honduran-general-election-be-between-61-and-62,Will turnout in the 2025 Honduran general election be between 61% and 62,sell,longshot,0.3572,0.0100,NO,0.0895,0.267667,0.257667,1
will-turnout-in-the-2025-honduran-general-election-be-between-56-and-57,Will turnout in the 2025 Honduran general election be between 56% and 57,sell,longshot,0.1387,0.0100,NO,0.0350,0.103776,0.093776,1
will-turnout-in-the-first-round-of-the-2026-costa-rican-presidential-election-be-at-least-72,Will turnout in the first round of the 2026 Costa Rican Presidential Ele,sell,longshot,0.3979,0.0100,NO,0.0013,0.396601,0.386601,1
will-turnout-in-the-first-round-of-the-2026-costa-rican-presidential-election-be-between-70-and-72,Will turnout in the first round of the 2026 Costa Rican Presidential Ele,sell,longshot,0.2058,0.0100,NO,0.0085,0.197250,0.187250,1
will-turnout-in-the-first-round-of-the-2026-costa-rican-presidential-election-be-between-68-and-70,Will turnout in the first round of the 2026 Costa Rican Presidential Ele,sell,longshot,0.2409,0.0100,YES,0.9925,-0.751583,-0.761583,0
will-turnout-in-the-first-round-of-the-2026-costa-rican-presidential-election-be-between-66-and-68,Will turnout in the first round of the 2026 Costa Rican Presidential Ele,sell,longshot,0.2504,0.0100,NO,0.0040,0.246417,0.236417,1
will-turnout-in-the-first-round-of-the-2026-costa-rican-presidential-election-be-between-64-and-66,Will turnout in the first round of the 2026 Costa Rican Presidential Ele,sell,longshot,0.2454,0.0100,NO,0.0045,0.240917,0.230917,1
will-the-national-union-for-democracy-and-progress-win-the-most-seats-in-the-2025-central-african-republic-national-assembly-election,Will the National Union for Democracy and Progress win the most seats in,sell,longshot,0.2475,0.0100,NO,0.0055,0.242000,0.232000,1
will-kwa-na-kwa-win-the-most-seats-in-the-2025-central-african-republic-national-assembly-election,Will Kwa Na Kwa win the most seats in the 2025 Central African Republic ,sell,longshot,0.3284,0.0100,NO,0.0020,0.326417,0.316417,1
will-the-central-african-democratic-rally-win-the-most-seats-in-the-2025-central-african-republic-national-assembly-election,Will the Central African Democratic Rally win the most seats in the 2025,sell,longshot,0.3497,0.0100,NO,0.0200,0.329667,0.319667,1
will-the-movement-for-the-liberation-of-the-central-african-people-win-the-most-seats-in-the-2025-central-african-republic-national-assembly-election,Will the Movement for the Liberation of the Central African People win t,sell,longshot,0.2958,0.0100,NO,0.0105,0.285317,0.275317,1
will-the-national-movement-of-independents-win-the-most-seats-in-the-2025-central-african-republic-national-assembly-election,Will the National Movement of Independents win the most seats in the 202,sell,longshot,0.2776,0.0100,NO,0.0065,0.271067,0.261067,1
will-the-union-for-central-african-renewal-win-the-most-seats-in-the-2025-central-african-republic-national-assembly-election,Will the Union for Central African Renewal win the most seats in the 202,sell,longshot,0.3351,0.0100,NO,0.0060,0.329083,0.319083,1
ukraine-election-called-by-march-31-2026,"Ukraine election called by March 31, 2026?",sell,longshot,0.3789,0.0100,NO,0.0352,0.343750,0.333750,1
will-turnout-in-the-2025-honduran-general-election-be-between-60-and-65,Will turnout in the 2025 Honduran general election be between 60% and 65,sell,longshot,0.3149,0.0100,NO,0.0520,0.262917,0.252917,1
will-eddie-lumsden-win-the-ga-14-special-election,Will Eddie Lumsden win the GA-14 special election?,sell,longshot,0.1816,0.0100,NO,0.0205,0.161116,0.151116,1
will-holly-mccormack-win-the-ga-14-special-election,Will Holly McCormack win the GA-14 special election?,sell,longshot,0.0441,0.0100,NO,0.0165,0.027618,0.017618,1
will-clarence-blalock-win-the-ga-14-special-election,Will Clarence Blalock win the GA-14 special election?,sell,longshot,0.0595,0.0100,NO,0.0265,0.033075,0.023075,1
will-rob-ruszkowski-win-the-ga-14-special-election,Will Rob Ruszkowski win the GA-14 special election?,sell,longshot,0.0354,0.0100,NO,0.0176,0.017793,0.007793,1
will-uloma-ekpete-kama-win-the-ga-14-special-election,Will Uloma Ekpete Kama win the GA-14 special election?,sell,longshot,0.0791,0.0100,NO,0.0229,0.056179,0.046179,1
will-trey-kelley-win-the-ga-14-special-election,Will Trey Kelley win the GA-14 special election?,sell,longshot,0.0648,0.0100,NO,0.0174,0.047430,0.037430,1
will-matt-barton-win-the-ga-14-special-election,Will Matt Barton win the GA-14 special election?,sell,longshot,0.0218,0.0100,NO,0.0277,-0.005904,-0.015904,0
will-tyler-paul-smith-win-the-ga-14-special-election,Will Tyler Paul Smith win the GA-14 special election?,sell,longshot,0.0399,0.0100,NO,0.0180,0.021911,0.011911,1
will-martin-momtahan-win-the-ga-14-special-election,Will Martin Momtahan win the GA-14 special election?,sell,longshot,0.0414,0.0100,NO,0.0174,0.023959,0.013959,1
will-marcus-flowers-win-the-ga-14-special-election,Will Marcus Flowers win the GA-14 special election?,sell,longshot,0.0633,0.0100,NO,0.0160,0.047304,0.037304,1
will-shawn-harris-win-the-ga-14-special-election,Will Shawn Harris win the GA-14 special election?,sell,longshot,0.0301,0.0100,NO,0.0656,-0.035444,-0.045444,0
will-jennifer-strahan-win-the-ga-14-special-election,Will Jennifer Strahan win the GA-14 special election?,sell,longshot,0.0348,0.0100,NO,0.0166,0.018261,0.008261,1
will-elvis-casely-win-the-ga-14-special-election,Will Elvis Casely win the GA-14 special election?,sell,longshot,0.0640,0.0100,NO,0.0155,0.048451,0.038451,1
will-jeff-criswell-win-the-ga-14-special-election,Will Jeff Criswell win the GA-14 special election?,sell,longshot,0.0550,0.0100,NO,0.0220,0.033009,0.023009,1
will-laura-loomer-win-the-ga-14-special-election,Will Laura Loomer win the GA-14 special election?,sell,longshot,0.0300,0.0100,NO,0.0155,0.014500,0.004500,1
will-jason-anavitarte-win-the-ga-14-special-election,Will Jason Anavitarte win the GA-14 special election?,sell,longshot,0.0649,0.0100,NO,0.0153,0.049596,0.039596,1
will-star-black-win-the-ga-14-special-election,Will Star Black win the GA-14 special election?,sell,longshot,0.1000,0.0100,NO,0.0208,0.079246,0.069246,1
will-katie-dempsey-win-the-ga-14-special-election,Will Katie Dempsey win the GA-14 special election?,sell,longshot,0.0399,0.0100,NO,0.0155,0.024412,0.014412,1
will-kasey-carpenter-win-the-ga-14-special-election,Will Kasey Carpenter win the GA-14 special election?,sell,longshot,0.0647,0.0100,NO,0.0238,0.040942,0.030942,1
will-chuck-hufstetler-win-the-ga-14-special-election,Will Chuck Hufstetler win the GA-14 special election?,sell,longshot,0.0650,0.0100,NO,0.0237,0.041316,0.031316,1
