slug,question,tags,end_date,n_trades,win_rate,total_pnl,sharpe,avg_spread,exit_reasons,error,skipped
cs2-bca-am-2026-03-10-map-handicap-away-1pt5,Map Handicap: BCA (-1.5) vs AM Gaming (+1.5),,2026-03-10T22:15:00+00:00,0,0.0000,0.000000,0.0000,0.5250,{},,spread=0.525>0.030
cbb-bayl-arzst-2026-03-10-spread-away-5pt5,Spread: Baylor Bears (-5.5),,2026-03-10T16:30:00+00:00,0,0.0000,0.000000,0.0000,0.0000,{},"No price data for token label 'Arizona State Sun Devils' in market 'cbb-bayl-arzst-2026-03-10-spread-away-5pt5'. Available labels: ['Arizona State Sun Devils', 'Baylor Bears']",
cs2-bca-am-2026-03-10-game2-odd-even-total-rounds,Map 2: Odd/Even Total Rounds?,,2026-03-10T22:15:00+00:00,0,0.0000,0.000000,0.0000,0.5148,{},,spread=0.515>0.030
cs2-bca-am-2026-03-10-game1-odd-even-total-rounds,Map 1: Odd/Even Total Rounds?,,2026-03-10T22:15:00+00:00,0,0.0000,0.000000,0.0000,0.4356,{},,spread=0.436>0.030
cs2-bca-am-2026-03-10-map-handicap-home-1pt5,Map Handicap: AM (-1.5) vs Betclic Apogee Esports (+1.5),,2026-03-10T22:15:00+00:00,0,0.0000,0.000000,0.0000,0.3098,{},,spread=0.310>0.030
cs2-bca-am-2026-03-10-total-games-2pt5,Games Total: O/U 2.5,,2026-03-10T22:15:00+00:00,0,0.0000,0.000000,0.0000,0.5165,{},,spread=0.517>0.030
cs2-bca-am-2026-03-10-game2,Counter-Strike: Betclic Apogee Esports vs AM Gaming - Map 2 Winner,,2026-03-10T22:15:00+00:00,0,0.0000,0.000000,0.0000,0.3374,{},,spread=0.337>0.030
cs2-bca-am-2026-03-10-game1,Counter-Strike: Betclic Apogee Esports vs AM Gaming - Map 1 Winner,,2026-03-10T22:15:00+00:00,0,0.0000,0.000000,0.0000,0.2088,{},,spread=0.209>0.030
cs2-bca-am-2026-03-10,Counter-Strike: Betclic Apogee Esports vs AM Gaming (BO3) - Parken Challenger Ch,,2026-03-10T22:15:00+00:00,0,0.0000,0.000000,0.0000,0.1438,{},,spread=0.144>0.030
dota2-heroic-navi-2026-03-10-game1-kill-over-34pt5,Total Kills Over/Under 34.5 in Game 1?,,2026-03-10T21:00:00+00:00,0,0.0000,0.000000,0.0000,0.1504,{},,spread=0.150>0.030
dota2-heroic-navi-2026-03-10-game1-kill-over-35pt5,Total Kills Over/Under 35.5 in Game 1?,,2026-03-10T21:00:00+00:00,0,0.0000,0.000000,0.0000,0.1507,{},,spread=0.151>0.030
cs2-kol-leo2-2026-03-10-map-handicap-home-1pt5,Map Handicap: Leo (-1.5) vs KOLESIE (+1.5),,2026-03-10T21:25:00+00:00,0,0.0000,0.000000,0.0000,0.3129,{},,spread=0.313>0.030
cbb-bayl-arzst-2026-03-10-total-152pt5,Baylor Bears vs. Arizona State Sun Devils: O/U 152.5,,2026-03-10T16:30:00+00:00,0,0.0000,0.000000,0.0000,0.0000,{},"No price data for token label 'Over' in market 'cbb-bayl-arzst-2026-03-10-total-152pt5'. Available labels: ['Over', 'Under']",
cs2-lk-ww-2026-03-10-total-games-2pt5,Games Total: O/U 2.5,,2026-03-10T21:00:00+00:00,0,0.0000,0.000000,0.0000,0.3170,{},,spread=0.317>0.030
cs2-lk-ww-2026-03-10,Counter-Strike: los kogutos vs WW Team (BO3) - BC Game Masters Group Stage,,2026-03-10T21:00:00+00:00,0,0.0000,0.000000,0.0000,0.2519,{},,spread=0.252>0.030
dota2-tundra-og-2026-03-10-game-handicap-home-1pt5,Game Handicap: OG (-1.5) vs Tundra Esports (+1.5),,2026-03-10T19:30:00+00:00,0,0.0000,0.000000,0.0000,0.5384,{},,spread=0.538>0.030
cwbb-yngst-gb-2026-03-10,Youngstown State Penguins vs. Green Bay Phoenix (W),,2026-03-10T16:00:00+00:00,0,0.0000,0.000000,0.0000,0.0000,{},"No price data for token label 'Green Bay Phoenix' in market 'cwbb-yngst-gb-2026-03-10'. Available labels: ['Green Bay Phoenix', 'Youngstown State Penguins']",
cbb-bayl-arzst-2026-03-10-total-153pt5,Baylor Bears vs. Arizona State Sun Devils: O/U 153.5,,2026-03-10T16:30:00+00:00,0,0.0000,0.000000,0.0000,0.0298,{},,
cbb-bayl-arzst-2026-03-10-spread-away-4pt5,Spread: Baylor Bears (-4.5),,2026-03-10T16:30:00+00:00,0,0.0000,0.000000,0.0000,0.0565,{},,spread=0.056>0.030
cs2-kol-leo2-2026-03-10-game3-odd-even-total-rounds,Map 3: Odd/Even Total Rounds?,,2026-03-10T21:25:00+00:00,0,0.0000,0.000000,0.0000,0.6841,{},,spread=0.684>0.030
cs2-kol-leo2-2026-03-10-map-handicap-away-1pt5,Map Handicap: KOL (-1.5) vs Leo Team (+1.5),,2026-03-10T21:25:00+00:00,0,0.0000,0.000000,0.0000,0.5203,{},,spread=0.520>0.030
cs2-kol-leo2-2026-03-10-total-games-2pt5,Games Total: O/U 2.5,,2026-03-10T21:25:00+00:00,0,0.0000,0.000000,0.0000,0.5288,{},,spread=0.529>0.030
cs2-kol-leo2-2026-03-10,Counter-Strike: KOLESIE vs Leo Team (BO3) - CCT Europe Series #17 Playoffs,,2026-03-10T21:25:00+00:00,0,0.0000,0.000000,0.0000,0.3052,{},,spread=0.305>0.030
lol-ap-cg-2026-03-10-game-handicap-away-1pt5,Game Handicap: AP (-1.5) vs Colossal Gaming (+1.5),,2026-03-10T22:00:00+00:00,0,0.0000,0.000000,0.0000,0.3243,{},,spread=0.324>0.030
lol-ap-cg-2026-03-10-total-games-2pt5,Games Total: O/U 2.5,,2026-03-10T22:00:00+00:00,0,0.0000,0.000000,0.0000,0.2124,{},,spread=0.212>0.030
lol-ap-cg-2026-03-10-game2,LoL: Arctic Pandas vs Colossal Gaming - Game 2 Winner,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.2565,{},,spread=0.256>0.030
lol-ap-cg-2026-03-10-game1,LoL: Arctic Pandas vs Colossal Gaming - Game 1 Winner,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.2804,{},,spread=0.280>0.030
lol-ap-cg-2026-03-10,LoL: Arctic Pandas vs Colossal Gaming (BO3) - EMEA Masters Group 3,,2026-03-10T22:00:00+00:00,0,0.0000,0.000000,0.0000,0.1413,{},,spread=0.141>0.030
lol-ucam1-bw-2026-03-10-game2-odd-even-total-kills,Game 2: Odd/Even Total Kills?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.9056,{},,spread=0.906>0.030
lol-ucam1-bw-2026-03-10-game2-any-player-penta-kill,Game 2: Any Player Penta Kill?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.9166,{},,spread=0.917>0.030
lol-ucam1-bw-2026-03-10-game2-any-player-quadra-kill,Game 2: Any Player Quadra Kill?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.9216,{},,spread=0.922>0.030
lol-ucam1-bw-2026-03-10-game2-both-teams-destroy-inhibitors,Game 2: Both Teams Destroy Inhibitors?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.9207,{},,spread=0.921>0.030
lol-ucam1-bw-2026-03-10-game2-both-teams-slay-dragon,Game 2: Both Teams Slay a Dragon?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.9198,{},,spread=0.920>0.030
lol-ucam1-bw-2026-03-10-game2-both-teams-slay-baron,Game 2: Both Teams Slay Baron Nashor?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.9171,{},,spread=0.917>0.030
lol-ucam1-bw-2026-03-10-game1-odd-even-total-kills,Game 1: Odd/Even Total Kills?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.8533,{},,spread=0.853>0.030
lol-ucam1-bw-2026-03-10-game1-any-player-penta-kill,Game 1: Any Player Penta Kill?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.9147,{},,spread=0.915>0.030
lol-ucam1-bw-2026-03-10-game1-any-player-quadra-kill,Game 1: Any Player Quadra Kill?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.9172,{},,spread=0.917>0.030
lol-ucam1-bw-2026-03-10-game1-both-teams-destroy-inhibitors,Game 1: Both Teams Destroy Inhibitors?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.8983,{},,spread=0.898>0.030
lol-ucam1-bw-2026-03-10-game1-both-teams-slay-dragon,Game 1: Both Teams Slay a Dragon?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.8728,{},,spread=0.873>0.030
lol-ucam1-bw-2026-03-10-game1-both-teams-slay-baron,Game 1: Both Teams Slay Baron Nashor?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.8758,{},,spread=0.876>0.030
lol-ucam1-bw-2026-03-10-game-handicap-away-1pt5,Game Handicap: UCAM (-1.5) vs Bushido Wildcats (+1.5),,2026-03-10T22:00:00+00:00,0,0.0000,0.000000,0.0000,0.3647,{},,spread=0.365>0.030
lol-ucam1-bw-2026-03-10-total-games-2pt5,Games Total: O/U 2.5,,2026-03-10T22:00:00+00:00,0,0.0000,0.000000,0.0000,0.2294,{},,spread=0.229>0.030
lol-ucam1-bw-2026-03-10-game2,LoL: UCAM Esports Club vs Bushido Wildcats - Game 2 Winner,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.2902,{},,spread=0.290>0.030
lol-ucam1-bw-2026-03-10-game1,LoL: UCAM Esports Club vs Bushido Wildcats - Game 1 Winner,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.2908,{},,spread=0.291>0.030
lol-ucam1-bw-2026-03-10,LoL: UCAM Esports Club vs Bushido Wildcats (BO3) - EMEA Masters Group 2,,2026-03-10T22:00:00+00:00,0,0.0000,0.000000,0.0000,0.1108,{},,spread=0.111>0.030
lol-dmg-kcb-2026-03-10-game2-both-teams-slay-dragon,Game 2: Both Teams Slay a Dragon?,,2026-03-10T20:00:00+00:00,0,0.0000,0.000000,0.0000,0.9141,{},,spread=0.914>0.030
lol-dmg-kcb-2026-03-10-game-handicap-home-1pt5,Game Handicap: KCB (-1.5) vs DMG Esports (+1.5),,2026-03-10T22:00:00+00:00,0,0.0000,0.000000,0.0000,0.3826,{},,spread=0.383>0.030
lol-dmg-kcb-2026-03-10-total-games-2pt5,Games Total: O/U 2.5,,2026-03-10T22:00:00+00:00,0,0.0000,0.000000,0.0000,0.3447,{},,spread=0.345>0.030
