slug,question,tags,end_date,n_trades,win_rate,total_pnl,sharpe,exit_reasons,error,skipped
lol-wb-ig1-2026-02-25-game2-kill-over-43pt5,Total Kills Over/Under 43.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game2-kill-over-42pt5,Total Kills Over/Under 42.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game2-kill-over-41pt5,Total Kills Over/Under 41.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game2-kill-over-40pt5,Total Kills Over/Under 40.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game2-kill-over-36pt5,Total Kills Over/Under 36.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game2-kill-over-37pt5,Total Kills Over/Under 37.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game2-kill-over-38pt5,Total Kills Over/Under 38.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game2-kill-over-39pt5,Total Kills Over/Under 39.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game2-kill-over-34pt5,Total Kills Over/Under 34.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game2-kill-over-35pt5,Total Kills Over/Under 35.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game2-kill-over-27pt5,Total Kills Over/Under 27.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game2-kill-over-33pt5,Total Kills Over/Under 33.5 in Game 2?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-59pt5,Total Kills Over/Under 59.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-58pt5,Total Kills Over/Under 58.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-57pt5,Total Kills Over/Under 57.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-55pt5,Total Kills Over/Under 55.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-56pt5,Total Kills Over/Under 56.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-51pt5,Total Kills Over/Under 51.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-54pt5,Total Kills Over/Under 54.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-53pt5,Total Kills Over/Under 53.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-50pt5,Total Kills Over/Under 50.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-52pt5,Total Kills Over/Under 52.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-46pt5,Total Kills Over/Under 46.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-48pt5,Total Kills Over/Under 48.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-49pt5,Total Kills Over/Under 49.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-47pt5,Total Kills Over/Under 47.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-43pt5,Total Kills Over/Under 43.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-42pt5,Total Kills Over/Under 42.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-44pt5,Total Kills Over/Under 44.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-45pt5,Total Kills Over/Under 45.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-41pt5,Total Kills Over/Under 41.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-40pt5,Total Kills Over/Under 40.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-37pt5,Total Kills Over/Under 37.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-36pt5,Total Kills Over/Under 36.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-35pt5,Total Kills Over/Under 35.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-38pt5,Total Kills Over/Under 38.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-34pt5,Total Kills Over/Under 34.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-39pt5,Total Kills Over/Under 39.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-33pt5,Total Kills Over/Under 33.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
lol-wb-ig1-2026-02-25-game1-kill-over-27pt5,Total Kills Over/Under 27.5 in Game 1?,,2026-02-25T12:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
dota2-flc-mouz-2026-02-24-game2-kill-over-63pt5,Total Kills Over/Under 63.5 in Game 2?,,2026-02-24T23:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
dota2-flc-mouz-2026-02-24-game2-kill-over-65pt5,Total Kills Over/Under 65.5 in Game 2?,,2026-02-24T23:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
dota2-flc-mouz-2026-02-24-game2-kill-over-66pt5,Total Kills Over/Under 66.5 in Game 2?,,2026-02-24T23:10:00+00:00,0,0.0000,0.000000,0.0000,{},,
highest-temperature-in-atlanta-on-february-25-2026-42-43f,Will the highest temperature in Atlanta be between 42-43°F on February 25?,,2026-02-25T12:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
dota2-bb4-pari-2026-02-24-game2-kill-over-57pt5,Total Kills Over/Under 57.5 in Game 2?,,2026-02-24T19:30:00+00:00,0,0.0000,0.000000,0.0000,{},,
dota2-bb4-pari-2026-02-24-game2-kill-over-58pt5,Total Kills Over/Under 58.5 in Game 2?,,2026-02-24T19:30:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-194-finish-in-second-place-on-beast-games-season-2,Will Player 194 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-21-finish-in-second-place-on-beast-games-season-2,Will Player 21 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-148-finish-in-second-place-on-beast-games-season-2,Will Player 148 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-174-finish-in-second-place-on-beast-games-season-2,Will Player 174 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-162-finish-in-second-place-on-beast-games-season-2,Will Player 162 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-157-finish-in-second-place-on-beast-games-season-2,Will Player 157 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-172-finish-in-second-place-on-beast-games-season-2,Will Player 172 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-167-finish-in-second-place-on-beast-games-season-2,Will Player 167 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-58-finish-in-second-place-on-beast-games-season-2,Will Player 58 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-118-finish-in-second-place-on-beast-games-season-2,Will Player 118 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-195-finish-in-second-place-on-beast-games-season-2,Will Player 195 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-45-finish-in-second-place-on-beast-games-season-2,Will Player 45 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-91-finish-in-second-place-on-beast-games-season-2,Will Player 91 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-831-finish-in-second-place-on-beast-games-season-2,Will Player 831 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-191-finish-in-second-place-on-beast-games-season-2,Will Player 191 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-566-finish-in-second-place-on-beast-games-season-2,Will Player 566 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-99-finish-in-second-place-on-beast-games-season-2,Will Player 99 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-38-finish-in-second-place-on-beast-games-season-2,Will Player 38 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-152-finish-in-second-place-on-beast-games-season-2,Will Player 152 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-173-finish-in-second-place-on-beast-games-season-2,Will Player 173 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-31-finish-in-second-place-on-beast-games-season-2,Will Player 31 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-112-finish-in-second-place-on-beast-games-season-2,Will Player 112 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-952-finish-in-second-place-on-beast-games-season-2,Will Player 952 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-126-finish-in-second-place-on-beast-games-season-2,Will Player 126 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
will-player-42-finish-in-second-place-on-beast-games-season-2,Will Player 42 finish in second place on Beast Games: Season 2?,,2026-02-25T00:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
dota2-xtreme-tundra-2026-02-24-game2-kill-over-55pt5,Total Kills Over/Under 55.5 in Game 2?,,2026-02-24T16:30:00+00:00,0,0.0000,0.000000,0.0000,{},,
xrp-updown-5m-1772017200,"XRP Up or Down - February 25, 6:00AM-6:05AM ET",,2026-02-25T11:05:00+00:00,0,0.0000,0.000000,0.0000,{},,
xrp-updown-15m-1772014500,"XRP Up or Down - February 25, 5:15AM-5:30AM ET",,2026-02-25T10:30:00+00:00,0,0.0000,0.000000,0.0000,{},,
btc-updown-15m-1772014500,"Bitcoin Up or Down - February 25, 5:15AM-5:30AM ET",,2026-02-25T10:30:00+00:00,0,0.0000,0.000000,0.0000,{},,
eth-updown-15m-1772014500,"Ethereum Up or Down - February 25, 5:15AM-5:30AM ET",,2026-02-25T10:30:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-gsw-nop-2026-02-24-assists-deanthony-melton-2pt5,De'Anthony Melton: Assists O/U 2.5,,2026-02-25T01:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-gsw-nop-2026-02-24-assists-gui-santos-3pt5,Gui Santos: Assists O/U 3.5,,2026-02-25T01:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-gsw-nop-2026-02-24-rebounds-moses-moody-4pt5,Moses Moody: Rebounds O/U 4.5,,2026-02-25T01:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-gsw-nop-2026-02-24-rebounds-zion-williamson-5pt5,Zion Williamson: Rebounds O/U 5.5,,2026-02-25T01:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-gsw-nop-2026-02-24-rebounds-saddiq-bey-6pt5,Saddiq Bey: Rebounds O/U 6.5,,2026-02-25T01:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-gsw-nop-2026-02-24-rebounds-derik-queen-7pt5,Derik Queen: Rebounds O/U 7.5,,2026-02-25T01:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-assists-toumani-camara-2pt5,Toumani Camara: Assists O/U 2.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-assists-donovan-clingan-2pt5,Donovan Clingan: Assists O/U 2.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-assists-jrue-holiday-6pt5,Jrue Holiday: Assists O/U 6.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-rebounds-jrue-holiday-4pt5,Jrue Holiday: Rebounds O/U 4.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-rebounds-toumani-camara-5pt5,Toumani Camara: Rebounds O/U 5.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-rebounds-donovan-clingan-12pt5,Donovan Clingan: Rebounds O/U 12.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-points-donovan-clingan-13pt5,Donovan Clingan: Points O/U 13.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-points-scoot-henderson-15pt5,Scoot Henderson: Points O/U 15.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-points-jrue-holiday-17pt5,Jrue Holiday: Points O/U 17.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-orl-lal-2026-02-24-assists-jalen-suggs-5pt5,Jalen Suggs: Assists O/U 5.5,,2026-02-25T03:30:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-orl-lal-2026-02-24-rebounds-jalen-suggs-3pt5,Jalen Suggs: Rebounds O/U 3.5,,2026-02-25T03:30:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-orl-lal-2026-02-24-points-jalen-suggs-12pt5,Jalen Suggs: Points O/U 12.5,,2026-02-25T03:30:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-assists-jaden-mcdaniels-3pt5,Jaden McDaniels: Assists O/U 3.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-assists-julius-randle-4pt5,Julius Randle: Assists O/U 4.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-rebounds-donte-divincenzo-3pt5,Donte DiVincenzo: Rebounds O/U 3.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-rebounds-jaden-mcdaniels-4pt5,Jaden McDaniels: Rebounds O/U 4.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-rebounds-anthony-edwards-5pt5,Anthony Edwards: Rebounds O/U 5.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-rebounds-naz-reid-6pt5,Naz Reid: Rebounds O/U 6.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-rebounds-rudy-gobert-11pt5,Rudy Gobert: Rebounds O/U 11.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-points-donte-divincenzo-10pt5,Donte DiVincenzo: Points O/U 10.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-points-naz-reid-11pt5,Naz Reid: Points O/U 11.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-points-rudy-gobert-11pt5,Rudy Gobert: Points O/U 11.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-points-jaden-mcdaniels-14pt5,Jaden McDaniels: Points O/U 14.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
nba-min-por-2026-02-24-points-julius-randle-20pt5,Julius Randle: Points O/U 20.5,,2026-02-25T04:00:00+00:00,0,0.0000,0.000000,0.0000,{},,
dota2-xtreme-tundra-2026-02-24-game1-first-blood,First Blood in Game 1?,,2026-02-24T16:30:00+00:00,0,0.0000,0.000000,0.0000,{},,
dota2-xtreme-tundra-2026-02-24-game2-first-blood,First Blood in Game 2?,,2026-02-24T16:30:00+00:00,0,0.0000,0.000000,0.0000,{},,
